# Fri Mar 22 16:25:06 2024
#iter,start_t0,scanf(),checkExit,loopIter,fillChar,solvePos,filltoSend,sent,total
0,0.00,1159.47,0.04,500.12,0.03,0.03,0.03,0.02,1659.74
1,0.00,0.28,0.01,0.89,0.02,0.01,0.04,0.01,1.26
2,0.00,0.17,0.02,0.58,0.03,0.02,0.06,0.01,0.88
3,0.00,0.11,0.01,0.49,0.01,0.01,0.03,0.01,0.67
4,0.00,0.12,0.01,1.07,0.04,0.03,0.08,0.01,1.36
5,0.00,0.12,0.01,1.37,0.03,0.02,0.05,0.01,1.61
6,0.00,0.13,0.01,11.39,0.02,0.01,0.03,0.00,11.60
7,0.00,1.21,0.02,0.75,0.03,0.02,0.05,0.01,2.08
8,0.00,0.07,0.01,0.93,0.01,0.01,0.03,0.00,1.07
9,0.00,0.08,0.01,1.07,0.01,0.01,0.03,0.00,1.21
10,0.00,0.10,0.01,0.62,0.01,0.01,0.02,0.00,0.78
11,0.00,0.25,0.03,0.03,0.00,0.02,0.04,0.01,0.38
12,0.00,0.20,0.02,1.20,0.04,0.02,0.06,0.01,1.54
13,0.00,0.09,0.01,7.75,0.02,0.01,0.04,0.00,7.93
14,0.00,0.16,0.01,0.98,0.03,0.02,0.26,0.02,1.48
15,0.00,0.08,0.01,0.01,0.00,0.01,0.01,0.00,0.12
16,0.00,0.07,0.01,0.40,0.01,0.01,0.02,0.00,0.52
17,0.00,0.10,0.01,0.69,0.01,0.01,0.03,0.01,0.87
18,0.00,0.19,0.02,0.83,0.01,0.01,0.04,0.01,1.12
19,0.00,0.16,0.01,0.41,0.02,0.02,0.03,0.00,0.64
20,0.00,0.23,0.02,1.01,0.03,0.02,0.07,0.01,1.39
21,0.00,0.10,0.01,0.59,0.01,0.01,0.03,0.00,0.77
22,0.00,0.13,0.01,0.82,0.02,0.02,0.07,0.02,1.10
23,0.00,0.09,0.01,0.49,0.00,0.01,0.07,0.01,0.69
24,0.00,0.18,0.02,0.56,0.01,0.02,0.06,0.01,0.86
25,0.00,0.17,0.03,1.23,0.03,0.03,0.08,0.02,1.58
26,0.00,0.11,0.01,0.49,0.01,0.01,0.03,0.00,0.66
27,0.00,0.17,0.01,0.41,0.02,0.02,0.03,0.00,0.67
28,0.00,0.08,0.01,0.51,0.01,0.01,0.02,0.00,0.64
29,0.00,0.08,0.01,0.25,0.00,0.01,0.02,0.00,0.37
30,0.00,0.30,0.03,1.29,0.03,0.03,0.09,0.02,1.78
31,0.00,0.14,0.01,0.52,0.01,0.01,0.03,0.01,0.74
32,0.00,0.10,0.01,0.58,0.01,0.01,0.03,0.00,0.74
33,0.00,0.31,0.03,2.13,0.04,0.03,0.07,0.01,2.61
34,0.00,0.12,0.01,3.84,0.04,0.02,0.06,0.01,4.10
35,0.00,0.11,0.01,0.73,0.02,0.01,0.03,0.01,0.92
36,0.00,0.09,0.01,1.32,0.04,0.02,0.05,0.00,1.55
37,0.00,0.14,0.03,0.32,0.01,0.01,0.02,0.00,0.52
38,0.00,0.17,0.01,0.72,0.01,0.01,0.04,0.01,0.98
39,0.00,0.14,0.02,0.44,0.02,0.01,0.04,0.01,0.67
40,0.00,0.19,0.02,0.92,0.03,0.01,0.04,0.01,1.22
41,0.00,0.15,0.01,0.78,0.02,0.01,0.05,0.01,1.02
42,0.00,0.16,0.01,0.02,0.00,0.02,0.04,0.01,0.26
43,0.00,0.15,0.01,2.61,0.18,0.02,0.08,0.01,3.07
44,0.00,0.24,0.03,0.70,0.01,0.01,0.02,0.00,1.02
45,0.00,0.21,0.03,0.64,0.03,0.02,0.05,0.01,0.98
46,0.00,0.07,0.01,0.37,0.02,0.01,0.01,0.00,0.49
47,0.00,0.08,0.01,1.84,0.04,0.01,0.01,0.00,1.98
48,0.00,0.60,0.02,1.14,0.06,0.01,0.01,0.00,1.85
49,0.00,0.14,0.01,0.27,0.03,0.01,0.01,0.00,0.48
50,0.00,0.14,0.02,0.01,0.03,0.01,0.01,0.00,0.23
51,0.00,0.10,0.02,0.44,0.03,0.01,0.01,0.00,0.62
52,0.00,0.18,0.02,0.29,0.03,0.01,0.01,0.00,0.55
53,0.00,0.16,0.01,0.27,0.03,0.01,0.01,0.00,0.50
54,0.00,0.14,0.02,0.57,0.05,0.01,0.01,0.01,0.81
55,0.00,0.18,0.03,0.56,0.05,0.01,0.01,0.01,0.84
56,0.00,0.08,0.01,0.34,0.02,0.01,0.01,0.00,0.46
57,0.00,0.13,0.02,0.33,0.03,0.01,0.01,0.00,0.53
58,0.00,0.08,0.01,0.36,0.03,0.01,0.01,0.00,0.50
59,0.00,0.09,0.01,0.29,0.03,0.01,0.01,0.00,0.45
60,0.00,0.10,0.01,0.50,0.04,0.01,0.01,0.01,0.69
61,0.00,0.10,0.02,0.48,0.04,0.01,0.01,0.00,0.67
62,0.00,0.09,0.01,0.45,0.03,0.01,0.01,0.00,0.61
63,0.00,0.08,0.01,0.36,0.03,0.01,0.01,0.00,0.50
64,0.00,0.08,0.01,0.01,0.01,0.01,0.01,0.00,0.13
65,0.00,1.18,0.03,0.46,0.03,0.01,0.01,0.01,1.72
66,0.00,0.25,0.03,0.81,0.11,0.03,0.02,0.01,1.25
67,0.00,0.12,0.02,0.96,0.05,0.01,0.01,0.00,1.17
68,0.00,0.08,0.01,0.51,0.03,0.02,0.02,0.01,0.68
69,0.00,0.10,0.01,0.46,0.03,0.01,0.01,0.00,0.62
70,0.00,0.08,0.01,0.33,0.01,0.01,0.01,0.00,0.45
71,0.00,0.10,0.01,0.01,0.02,0.01,0.01,0.00,0.16
72,0.00,0.23,0.01,0.47,0.04,0.01,0.01,0.01,0.78
73,0.00,0.33,0.03,1.60,0.04,0.01,0.01,0.00,2.03
74,0.00,0.10,0.01,0.51,0.04,0.01,0.01,0.00,0.68
75,0.00,0.08,0.01,0.37,0.02,0.01,0.01,0.00,0.50
76,0.00,0.07,0.01,0.41,0.02,0.01,0.01,0.00,0.53
77,0.00,0.25,0.03,0.82,0.10,0.01,0.01,0.01,1.24
78,0.00,0.10,0.01,0.48,0.03,0.01,0.01,0.00,0.64
79,0.00,0.07,0.01,0.43,0.03,0.09,0.01,0.00,0.64
80,0.00,0.27,0.04,1.19,0.09,0.02,0.01,0.01,1.63
