# Thu Mar 21 03:34:19 2024
#iter,start_t0,scanf(),checkExit,loopIter,fillChar,solvePos,filltoSend,sent,total
0,0.00,1441.40,0.04,500.09,0.02,0.03,0.03,0.02,1941.63
1,0.00,0.23,0.02,0.84,0.03,0.02,0.06,0.01,1.21
2,0.00,0.11,0.01,0.63,0.02,0.01,0.05,0.01,0.84
3,0.00,0.09,0.01,0.64,0.02,0.01,0.04,0.01,0.81
4,0.00,0.16,0.03,0.56,0.01,0.01,0.02,0.00,0.79
5,0.00,0.10,0.01,0.52,0.02,0.01,0.05,0.01,0.71
6,0.00,0.20,0.03,0.62,0.01,0.01,0.04,0.01,0.93
7,0.00,0.23,0.02,0.37,0.01,0.01,0.03,0.01,0.67
8,0.00,0.11,0.01,0.51,0.01,0.01,0.11,0.01,0.77
9,0.00,0.18,0.02,0.01,0.00,0.02,0.03,0.01,0.26
10,0.00,0.15,0.02,0.61,0.01,0.01,0.03,0.00,0.83
11,0.00,0.15,0.02,0.63,0.03,0.03,0.34,0.04,1.24
12,0.00,0.26,0.02,0.47,0.01,0.02,0.03,0.01,0.82
13,0.00,0.11,0.01,1.08,0.05,0.04,0.12,0.17,1.58
14,0.00,0.08,0.01,0.01,0.00,0.01,0.01,0.00,0.12
15,0.00,0.11,0.01,0.83,0.05,0.02,0.08,0.01,1.11
16,0.00,0.22,0.02,0.65,0.01,0.01,0.04,0.00,0.96
17,0.00,0.16,0.02,0.39,0.01,0.01,0.03,0.00,0.62
18,0.00,0.16,0.01,0.22,0.00,0.01,0.01,0.00,0.42
19,0.00,0.09,0.01,0.48,0.01,0.05,0.03,0.00,0.68
20,0.00,0.38,0.03,0.55,0.01,0.01,0.04,0.00,1.02
21,0.00,0.09,0.01,4.36,0.02,0.01,0.03,0.00,4.53
22,0.00,0.09,0.01,0.44,0.01,0.01,0.02,0.00,0.58
23,0.00,0.09,0.01,0.35,0.00,0.01,0.02,0.00,0.48
24,0.00,0.19,0.02,0.49,0.01,0.01,0.02,0.01,0.75
25,0.00,0.13,0.01,0.71,0.01,0.01,0.03,0.00,0.91
26,0.00,0.14,0.01,0.83,0.04,0.03,0.09,0.02,1.15
27,0.00,0.21,0.03,0.36,0.02,0.02,0.06,0.01,0.70
28,0.00,0.07,0.01,0.33,0.01,0.01,0.03,0.01,0.46
29,0.00,0.22,0.02,0.92,0.03,0.02,0.06,0.01,1.28
30,0.00,0.09,0.01,0.42,0.01,0.01,0.03,0.01,0.58
31,0.00,0.15,0.02,0.74,0.03,0.02,0.06,0.01,1.02
32,0.00,0.22,0.03,0.68,0.03,0.02,0.08,0.01,1.06
33,0.00,0.21,0.02,2.01,0.05,0.01,0.06,0.01,2.37
34,0.00,0.15,0.02,1.05,0.03,0.02,0.09,0.01,1.37
35,0.00,0.08,0.01,0.56,0.01,0.01,0.06,0.01,0.74
36,0.00,0.08,0.01,6.67,0.02,0.01,0.02,0.00,6.82
37,0.00,0.10,0.01,0.52,0.01,0.01,0.02,0.01,0.68
38,0.00,0.16,0.01,0.90,0.03,0.03,0.08,0.01,1.22
39,0.00,0.14,0.01,0.26,0.00,0.01,0.02,0.00,0.46
40,0.00,0.20,0.02,0.61,0.02,0.02,0.05,0.01,0.94
41,0.00,0.11,0.01,0.39,0.01,0.01,0.03,0.00,0.56
42,0.00,0.13,0.01,1.08,0.02,0.01,0.03,0.00,1.29
43,0.00,0.16,0.01,0.01,0.00,0.01,0.02,0.01,0.23
44,0.00,0.19,0.02,0.55,0.01,0.01,0.05,0.01,0.84
45,0.00,0.08,0.01,0.40,0.01,0.01,0.02,0.00,0.52
46,0.00,0.08,0.01,0.38,0.01,0.01,0.02,0.00,0.51
47,0.00,0.14,0.02,0.34,0.01,0.01,0.03,0.01,0.57
48,0.00,8.19,0.03,0.70,0.02,0.01,0.04,0.01,8.98
49,0.00,0.17,0.02,0.82,0.04,0.02,0.06,0.01,1.15
50,0.00,0.18,0.02,0.45,0.03,0.01,0.01,0.00,0.71
51,0.00,0.13,0.02,0.64,0.05,0.01,0.01,0.00,0.86
52,0.00,0.20,0.03,0.70,0.08,0.02,0.01,0.01,1.06
53,0.00,0.12,0.01,0.53,0.04,0.01,0.01,0.01,0.73
54,0.00,0.19,0.02,0.36,0.05,0.01,0.01,0.01,0.65
55,0.00,0.14,0.02,1.08,0.13,0.02,0.01,0.01,1.41
56,0.00,0.07,0.01,0.38,0.03,0.01,0.01,0.00,0.50
57,0.00,0.21,0.01,0.27,0.05,0.04,0.01,0.00,0.61
58,0.00,0.33,0.02,0.81,0.04,0.01,0.01,0.00,1.23
59,0.00,0.08,0.01,0.01,0.01,0.01,0.01,0.00,0.12
60,0.00,2.85,0.02,0.74,0.13,0.03,0.02,0.01,3.79
61,0.00,0.10,0.01,0.28,0.03,0.01,0.01,0.00,0.45
62,0.00,0.09,0.01,0.25,0.02,0.01,0.01,0.00,0.39
63,0.00,0.14,0.02,0.59,0.05,0.01,0.01,0.01,0.83
64,0.00,0.07,0.01,0.43,0.03,0.01,0.01,0.00,0.55
65,0.00,0.18,0.02,0.72,0.10,0.02,0.01,0.01,1.07
66,0.00,0.14,0.01,0.47,0.05,0.01,0.01,0.01,0.68
67,0.00,0.15,0.02,0.42,0.06,0.01,0.01,0.01,0.68
68,0.00,0.18,0.03,1.18,0.14,0.03,0.02,0.01,1.57
69,0.00,0.27,0.03,2.29,0.10,0.01,0.01,0.00,2.71
70,0.00,0.15,0.01,0.55,0.06,0.01,0.01,0.01,0.80
71,0.00,0.22,0.02,0.73,0.05,0.01,0.01,0.00,1.04
72,0.00,0.13,0.02,0.57,0.06,0.01,0.01,0.00,0.80
73,0.00,0.09,0.01,0.69,0.04,0.01,0.01,0.00,0.85
74,0.00,0.08,0.01,8.75,0.06,0.01,0.01,0.00,8.92
75,0.00,0.13,0.01,0.49,0.05,0.01,0.01,0.00,0.70
76,0.00,0.11,0.01,0.69,0.05,0.01,0.01,0.01,0.89
77,0.00,0.20,0.01,0.95,0.05,0.01,0.01,0.00,1.23
78,0.00,0.09,0.01,0.81,0.05,0.01,0.01,0.00,0.99
79,0.00,0.08,0.01,0.41,0.03,0.01,0.01,0.00,0.55
80,0.00,0.11,0.01,0.52,0.04,0.01,0.01,0.00,0.70
81,0.00,0.24,0.02,0.71,0.09,0.02,0.01,0.01,1.11
82,0.00,0.15,0.02,0.02,0.02,0.01,0.01,0.01,0.24
