numSubProcesses,iteration number,init prep,sum amplitude,sum phaseVector,define BMP_sys,get colour scale,define pixel col,Process time,absolute calc totalTime
1,0,0.0156,1.30593,1.33032,0.351776,1.0658,0.000755,6541,6541
1,1,0.008541,1.22757,1.2513,0.289177,1.0211,0.000834,6169,6169
1,2,0.01347,1.25272,1.28259,0.018672,1.06008,0.000996,5687,5687
1,3,0.015048,1.21646,1.24477,0.018565,1.0613,0.001128,5551,5551
1,4,0.015597,1.20702,1.23728,0.017498,1.05652,0.00092,5509,5509
1,5,0.014564,1.20524,1.2341,0.0174,1.05264,0.000851,5490,5490
1,6,0.013423,1.19859,1.22603,0.017292,1.04955,0.000953,5471,5471
1,7,0.014656,1.22094,1.24974,0.017283,1.07041,0.000966,5600,5600
1,8,0.014342,1.20458,1.23135,0.017455,1.04915,0.000649,5477,5477
1,9,0.015214,1.21213,1.24085,0.019406,1.05911,0.001005,5525,5525
1,10,0.014687,1.21327,1.23616,0.017015,1.05601,0.000815,5512,5512
1,11,0.012518,1.19681,1.22204,0.017401,1.05186,0.001121,5472,5472
1,12,0.013981,1.21519,1.23695,0.017649,1.05726,0.000922,5534,5534
1,13,0.015686,1.23622,1.26879,0.017409,1.07019,0.001199,5661,5661
1,14,0.017473,1.22728,1.25195,0.018631,1.06412,0.000954,5578,5578
1,15,0.014373,1.20499,1.23742,0.017151,1.05553,0.000896,5509,5509
1,16,0.014567,1.20649,1.23636,0.016987,1.05698,0.000722,5502,5502
1,17,0.013029,1.19219,1.22263,0.016047,1.04766,0.000921,5461,5461
1,18,0.014531,1.20951,1.23707,0.017641,1.06679,0.00065,5564,5564
1,19,0.013569,1.19144,1.21544,0.015761,1.04381,0.00082,5430,5430
1,20,0.014894,1.20607,1.22833,0.015967,1.05724,0.000932,5497,5497
1,21,0.014856,1.20829,1.23867,0.017322,1.05195,0.000779,5502,5502
1,22,0.016817,1.23934,1.26596,0.019279,1.07112,0.000748,5640,5640
1,23,0.015497,1.2091,1.24151,0.018304,1.05966,0.000891,5528,5528
1,24,0.015137,1.23849,1.27115,0.019486,1.07915,0.000817,5670,5670
1,25,0.015234,1.21166,1.2447,0.016883,1.05819,0.000996,5537,5537
1,26,0.016977,1.23468,1.25973,0.020087,1.06677,0.000853,5605,5605
1,27,0.013959,1.22395,1.24894,0.019125,1.06363,0.002095,5566,5566
1,28,0.01427,1.20027,1.22814,0.017633,1.05335,0.000813,5488,5488
1,29,0.013295,1.20605,1.22925,0.017114,1.05402,0.000667,5490,5490
1,30,0.013813,1.2113,1.23809,0.018433,1.06307,0.00097,5546,5546
1,31,0.016167,1.20625,1.23747,0.019215,1.05502,0.000915,5502,5502
1,32,0.012771,1.1973,1.22503,0.018353,1.04776,0.001102,5463,5463
1,33,0.015201,1.20791,1.23484,0.018754,1.05731,0.000997,5514,5514
1,34,0.016157,1.2531,1.28867,0.021625,1.07892,0.001526,5722,5722
1,35,0.013491,1.21014,1.23659,0.017786,1.05843,0.000839,5538,5538
1,36,0.015121,1.23385,1.27263,0.018908,1.07325,0.000781,5637,5637
1,37,0.015029,1.19833,1.22657,0.018135,1.05319,0.000939,5475,5475
1,38,0.015295,1.20076,1.23082,0.01826,1.06404,0.000908,5502,5502
1,39,0.013959,1.18789,1.20736,0.016546,1.04805,0.000765,5436,5436
1,40,0.01392,1.19976,1.23337,0.017832,1.05394,0.00141,5484,5484
1,41,0.015016,1.20678,1.23297,0.017155,1.05098,0.001253,5505,5505
1,42,0.014616,1.20407,1.2343,0.017813,1.05793,0.000987,5503,5503
1,43,0.014142,1.21169,1.23953,0.018189,1.05916,0.000992,5529,5529
1,44,0.01549,1.20198,1.22992,0.018014,1.05461,0.000889,5485,5485
1,45,0.01398,1.20187,1.22985,0.017867,1.05058,0.00099,5478,5478
1,46,0.014871,1.20574,1.22762,0.016743,1.05473,0.000842,5475,5475
1,47,0.013757,1.21209,1.23638,0.017096,1.06137,0.000992,5548,5548
1,48,0.015692,1.2467,1.27597,0.01764,1.07038,0.00083,5666,5666
1,49,0.014768,1.20217,1.23055,0.017804,1.05831,0.001213,5498,5498
1,50,0.016237,1.22006,1.2431,0.018799,1.05915,0.000954,5553,5553
1,51,0.018836,1.31161,1.34957,0.327947,1.07578,0.00087,6534,6534
1,52,0.013883,1.2553,1.28514,0.283867,1.04896,0.001002,6288,6288
1,53,0.015549,1.21267,1.24241,0.020238,1.05668,0.000745,5516,5516
1,54,0.012829,1.19385,1.21975,0.016771,1.0434,0.000589,5439,5439
1,55,0.013588,1.21198,1.24615,0.017156,1.05277,0.001094,5518,5518
1,56,0.014946,1.20283,1.22768,0.016134,1.04432,0.001142,5446,5446
1,57,0.012732,1.19531,1.22208,0.016484,1.04141,0.001044,5436,5436
1,58,0.014369,1.20759,1.23645,0.016446,1.05323,0.001456,5498,5498
1,59,0.015139,1.19963,1.22863,0.018273,1.04778,0.001199,5460,5460
1,60,0.013497,1.20132,1.2318,0.016988,1.04911,0.001051,5454,5454
1,61,0.016993,1.21147,1.23849,0.017383,1.0535,0.000685,5510,5510
1,62,0.01633,1.21021,1.2426,0.016727,1.0568,0.001203,5522,5522
1,63,0.015252,1.19566,1.22766,0.017882,1.05031,0.001005,5460,5460
1,64,0.014909,1.23241,1.26334,0.01682,1.0674,0.000802,5614,5614
1,65,0.01208,1.21184,1.23783,0.01402,1.04065,0.000971,5488,5488
1,66,0.012923,1.21305,1.24226,0.01761,1.05221,0.000838,5533,5533
1,67,0.013984,1.20397,1.22954,0.017294,1.05031,0.001107,5474,5474
1,68,0.01634,1.23924,1.27029,0.017899,1.06586,0.000899,5643,5643
1,69,0.019057,1.28042,1.29489,0.021081,1.09751,0.004448,5755,5755
1,70,0.013666,1.2129,1.2388,0.016344,1.05476,0.000822,5509,5509
1,71,0.015765,1.19168,1.21954,0.015592,1.04608,0.000776,5432,5432
1,72,0.014125,1.2021,1.2334,0.016693,1.04554,0.000776,5465,5465
1,73,0.017524,1.22167,1.25423,0.019228,1.06224,0.001265,5566,5566
1,74,0.014249,1.19525,1.22185,0.015677,1.0422,0.001021,5424,5424
1,75,0.014751,1.21714,1.25573,0.018137,1.0614,0.000774,5568,5568
1,76,0.01326,1.18786,1.21397,0.017308,1.03515,0.001192,5397,5397
1,77,0.014967,1.21162,1.24153,0.018173,1.05502,0.00117,5508,5508
1,78,0.019594,1.23628,1.27613,0.02076,1.07631,0.0012,5633,5633
1,79,0.01365,1.21189,1.24493,0.015957,1.03857,0.00059,5516,5516
1,80,0.013997,1.19787,1.22812,0.017338,1.03958,0.001126,5437,5437
1,81,0.015946,1.21348,1.25273,0.016691,1.06166,0.001031,5564,5564
1,82,0.013749,1.19351,1.23033,0.018633,1.04474,0.000993,5447,5447
1,83,0.013215,1.19365,1.22078,0.017447,1.04484,0.001216,5432,5432
1,84,0.017305,1.25378,1.29229,0.017382,1.06549,0.000929,5680,5680
1,85,0.013851,1.20663,1.24116,0.019571,1.04787,0.001029,5498,5498
1,86,0.015954,1.20754,1.24056,0.018522,1.05048,0.001068,5493,5493
1,87,0.014142,1.20572,1.23136,0.016307,1.04497,0.001153,5479,5479
1,88,0.015194,1.21117,1.2445,0.017916,1.05652,0.000841,5519,5520
1,89,0.012803,1.1993,1.22502,0.018431,1.04822,0.001131,5483,5483
