Roll,Pitch,Z,Area
0.0,0.0,200.0,4171.841642879957
1.0,0.0,200.0,4171.841642879957
2.0,0.0,200.0,4171.841642879957
3.0,0.0,200.0,4170.068277675758
4.0,0.0,200.0,4166.521547267358
5.0,0.0,200.0,4162.088134256859
6.0,0.0,200.0,4156.76803864426
7.0,0.0,200.0,4149.674577827461
8.0,0.0,200.0,4142.581117010662
9.0,0.0,200.0,4133.714290989663
10.0,0.0,200.0,4123.960782366564
11.0,0.0,200.0,4113.320591141365
12.0,0.0,200.0,4101.793717314066
13.0,0.0,200.0,4088.493478282568
14.0,0.0,200.0,4075.19323925107
15.0,0.0,200.0,4060.119635015372
16.0,0.0,200.0,4044.159348177574
17.0,0.0,200.0,4027.312378737676
18.0,0.0,200.0,4009.5787266956786
19.0,0.0,200.0,3990.9583920515806
20.0,0.0,200.0,3970.5646922032834
21.0,0.0,200.0,3950.1709923549865
22.0,0.0,200.0,3928.003927302489
23.0,0.0,200.0,3904.950179647892
24.0,0.0,200.0,3881.0097493911953
25.0,0.0,200.0,3856.1826365323986
26.0,0.0,200.0,3829.5821584694017
27.0,0.0,200.0,3802.9816804064053
28.0,0.0,200.0,3774.607837139209
29.0,0.0,200.0,3745.347311269913
30.0,0.0,200.0,3715.200102798517
31.0,0.0,200.0,3684.1662117250207
32.0,0.0,200.0,3651.358955447325
33.0,0.0,200.0,3618.551699169629
34.0,0.0,200.0,3583.9710776877337
35.0,0.0,200.0,3548.5037736037384
36.0,0.0,200.0,3512.1497869176433
37.0,0.0,200.0,3474.9091176294482
38.0,0.0,200.0,3436.781765739153
39.0,0.0,200.0,3396.881048644658
40.0,0.0,200.0,3356.9803315501636
41.0,0.0,200.0,3315.3062492514687
42.0,0.0,200.0,3272.7454843506744
43.0,0.0,200.0,3229.29803684778
44.0,0.0,200.0,3184.0772241406858
45.0,0.0,200.0,3138.856411433592
