"Roll","Pitch","Area"
-90,-90,1.7979999999999998
-90,-89,1.7631999999999999
-90,-88,1.7399999999999998
-90,-87,1.7167999999999999
-90,-86,1.682
-90,-85,1.6587999999999998
-90,-84,1.6355999999999997
-90,-83,1.6123999999999998
-90,-82,1.5892
-90,-81,1.566
-90,-80,1.5312
-90,-79,1.508
-90,-78,1.4848
-90,-77,1.4616
-90,-76,1.4384
-90,-75,1.4151999999999998
-90,-74,1.4036
-90,-73,1.3803999999999998
-90,-72,1.3571999999999997
-90,-71,1.3339999999999999
-90,-70,1.3107999999999997
-90,-69,1.2876
-90,-68,1.276
-90,-67,1.2528
-90,-66,1.2296
-90,-65,1.2064
-90,-64,1.1947999999999999
-90,-63,1.1716
-90,-62,1.16
-90,-61,1.1367999999999998
-90,-60,1.1136
-90,-59,1.1019999999999999
-90,-58,1.0788
-90,-57,1.0672
-90,-56,1.044
-90,-55,1.0324
-90,-54,1.0208
-90,-53,0.9975999999999999
-90,-52,0.9859999999999999
-90,-51,0.9743999999999999
-90,-50,0.9511999999999998
-90,-49,0.9396
-90,-48,0.9279999999999999
-90,-47,0.9164
-90,-46,0.8932
-90,-45,0.8815999999999999
-90,-44,0.8699999999999999
-90,-43,0.8583999999999999
-90,-42,0.8467999999999999
-90,-41,0.8351999999999999
-90,-40,0.8235999999999999
-90,-39,0.8119999999999999
-90,-38,0.8003999999999999
-90,-37,0.7888000000000001
-90,-36,0.7772
-90,-35,0.7656
-90,-34,0.754
-90,-33,0.754
-90,-32,0.7424
-90,-31,0.7308
-90,-30,0.7192
-90,-29,0.7192
-90,-28,0.7075999999999999
-90,-27,0.696
-90,-26,0.696
-90,-25,0.6843999999999999
-90,-24,0.6728
-90,-23,0.6728
-90,-22,0.6611999999999999
-90,-21,0.6611999999999999
-90,-20,0.6496000000000001
-90,-19,0.6496000000000001
-90,-18,0.638
-90,-17,0.638
-90,-16,0.638
-90,-15,0.6264
-90,-14,0.6264
-90,-13,0.6264
-90,-12,0.6148
-90,-11,0.6148
-90,-10,0.6148
-90,-9,0.6148
-90,-8,0.6148
-90,-7,0.6148
-90,-6,0.6032
-90,-5,0.6032
-90,-4,0.6032
-90,-3,0.6032
-90,-2,0.6032
-90,-1,0.6032
-90,0,0.6032
-90,1,0.6032
-90,2,0.6148
-90,3,0.6148
-90,4,0.6148
-90,5,0.6148
-90,6,0.6148
-90,7,0.6264
-90,8,0.6264
-90,9,0.6264
-90,10,0.6264
-90,11,0.638
-90,12,0.638
-90,13,0.6496000000000001
-90,14,0.6496000000000001
-90,15,0.6496000000000001
-90,16,0.6611999999999999
-90,17,0.6611999999999999
-90,18,0.6728
-90,19,0.6843999999999999
-90,20,0.6843999999999999
-90,21,0.696
-90,22,0.696
-90,23,0.7075999999999999
-90,24,0.7192
-90,25,0.7308
-90,26,0.7308
-90,27,0.7424
-90,28,0.754
-90,29,0.7656
-90,30,0.7772
-90,31,0.7772
-90,32,0.7888000000000001
-90,33,0.8003999999999999
-90,34,0.8119999999999999
-90,35,0.8235999999999999
-90,36,0.8351999999999999
-90,37,0.8467999999999999
-90,38,0.8583999999999999
-90,39,0.8815999999999999
-90,40,0.8932
-90,41,0.9047999999999999
-90,42,0.9164
-90,43,0.9279999999999999
-90,44,0.9396
-90,45,0.9627999999999999
-90,46,0.9743999999999999
-90,47,0.9859999999999999
-90,48,1.0091999999999999
-90,49,1.0208
-90,50,1.0324
-90,51,1.0555999999999999
-90,52,1.0672
-90,53,1.0903999999999998
-90,54,1.1019999999999999
-90,55,1.1252
-90,56,1.1367999999999998
-90,57,1.16
-90,58,1.1832
-90,59,1.1947999999999999
-90,60,1.218
-90,61,1.2412
-90,62,1.2528
-90,63,1.276
-90,64,1.2992000000000001
-90,65,1.3223999999999998
-90,66,1.3339999999999999
-90,67,1.3571999999999997
-90,68,1.3803999999999998
-90,69,1.4036
-90,70,1.4267999999999998
-90,71,1.45
-90,72,1.4731999999999998
-90,73,1.4964
-90,74,1.5196
-90,75,1.5428
-90,76,1.566
-90,77,1.5892
-90,78,1.6239999999999999
-90,79,1.6471999999999998
-90,80,1.6703999999999999
-90,81,1.6935999999999998
-90,82,1.7167999999999999
-90,83,1.7515999999999998
-90,84,1.7748
-90,85,1.7979999999999998
-90,86,1.8328
-90,87,1.8559999999999999
-90,88,1.8792
-90,89,1.9139999999999997
-90,90,1.9371999999999998
-89,-90,1.7979999999999998
-89,-89,1.7631999999999999
-89,-88,1.7399999999999998
-89,-87,1.7167999999999999
-89,-86,1.682
-89,-85,1.6587999999999998
-89,-84,1.6355999999999997
-89,-83,1.6123999999999998
-89,-82,1.5892
-89,-81,1.566
-89,-80,1.5312
-89,-79,1.508
-89,-78,1.4848
-89,-77,1.4616
-89,-76,1.4384
-89,-75,1.4151999999999998
-89,-74,1.4036
-89,-73,1.3803999999999998
-89,-72,1.3571999999999997
-89,-71,1.3339999999999999
-89,-70,1.3107999999999997
-89,-69,1.2876
-89,-68,1.276
-89,-67,1.2528
-89,-66,1.2296
-89,-65,1.2064
-89,-64,1.1947999999999999
-89,-63,1.1716
