Z,Roll,Pitch,Area
0,-90,0,0.9205827738894443
-5,-85,0,0.944150835594915
0,-85,0,0.9350092843879446
5,-85,0,0.9217254677903157
-10,-80,0,0.9617197543208114
-5,-80,0,0.9567204685044993
0,-80,0,0.947578917297529
5,-80,0,0.9341522639622911
10,-80,0,0.9167261819740037
-15,-75,0,0.973575203542351
-10,-75,0,0.9725753463790887
-5,-75,0,0.9674332238251678
0,-75,0,0.9582916726181974
5,-75,0,0.9448650192829596
10,-75,0,0.9272961005570632
15,-75,0,0.9055849164405085
-20,-70,0,0.9794315097843165
-15,-70,0,0.9825739180117126
-10,-70,0,0.9815740608484502
-5,-70,0,0.9764319382945293
0,-70,0,0.9670047136123411
5,-70,0,0.9535780602771032
10,-70,0,0.936009141551207
15,-70,0,0.9141551206970433
20,-70,0,0.88830167118983
-25,-65,0,0.9795743465219254
-20,-65,0,0.9867161834023711
-15,-65,0,0.9897157548921582
-10,-65,0,0.988573060991287
-5,-65,0,0.9834309384373661
0,-65,0,0.9740037137551778
5,-65,0,0.9604342236823311
10,-65,0,0.9427224682188259
15,-65,0,0.9210112841022711
20,-65,0,0.895014997857449
25,-65,0,0.8648764462219682
-30,-60,0,0.97371804027996
-25,-60,0,0.9850021425510641
-20,-60,0,0.9920011426939008
-15,-60,0,0.9950007141836881
-10,-60,0,0.9938580202828168
-5,-60,0,0.988573060991287
0,-60,0,0.9790029995714898
5,-60,0,0.965433509498643
10,-60,0,0.9477217540351378
15,-60,0,0.9258677331809742
20,-60,0,0.8997286101985431
25,-60,0,0.8695900585630624
30,-60,0,0.8353092415369233
-35,-55,0,0.9620054277960292
-30,-55,0,0.9772889587201828
-25,-55,0,0.988573060991287
-20,-55,0,0.9955720611341237
-15,-55,0,0.998428795886302
-10,-55,0,0.9971432652478217
-5,-55,0,0.991715469218683
0,-55,0,0.9822882445364948
5,-55,0,0.9685759177260391
10,-55,0,0.950721325524925
15,-55,0,0.9287244679331524
20,-55,0,0.9027281816883302
25,-55,0,0.8724467933152407
30,-55,0,0.8380231395514927
35,-55,0,0.7996000571346951
-40,-50,0,0.9444365090701329
-35,-50,0,0.963862305384945
-30,-50,0,0.9791458363090987
-25,-50,0,0.990144265104985
-20,-50,0,0.9971432652478217
-15,-50,0,1.0
-10,-50,0,0.9989997142040583
-5,-50,0,0.9935695913118033
0,-50,0,0.9839954272649328
5,-50,0,0.9702772220634467
10,-50,0,0.9522720777364961
15,-50,0,0.9302657902257788
20,-50,0,0.9041154615604459
25,-50,0,0.8738210917404973
30,-50,0,0.8393826807659331
35,-50,0,0.8006573306659045
40,-50,0,0.7579308373821092
-45,-45,0,0.9214061160331524
-40,-45,0,0.9449842812232067
-35,-45,0,0.9642755072877965
-30,-45,0,0.9794226921977708
-25,-45,0,0.9904258359531295
-20,-45,0,0.9972849385538726
-15,-45,0,1.0
-10,-45,0,1.0
-5,-45,0,0.9952742374337678
0,-45,0,0.9855363024488042
5,-45,0,0.9716454246026063
10,-45,0,0.9537448088214234
15,-45,0,0.9315480452527567
20,-45,0,0.9051983388228555
25,-45,0,0.8746956895317199
30,-45,0,0.8401833023055993
35,-45,0,0.8013747672919949
40,-45,0,0.7584132894171559
45,-45,0,0.7114420736073321
-50,-40,0,0.8940283545753974
-45,-40,0,0.9216669053415437
-40,-40,0,0.9450093083202062
-35,-40,0,0.9643419733638837
-30,-40,0,0.9795216955463268
-25,-40,0,0.990405269941286
-20,-40,0,0.9972791064012602
-15,-40,0,1.0
-10,-40,0,1.0
-5,-40,0,0.9969801553062986
0,-40,0,0.9872016105838366
5,-40,0,0.9732528041415013
10,-40,0,0.9551337359792925
15,-40,0,0.9327006039689387
20,-40,0,0.9062410123669831
25,-40,0,0.8756111590451539
30,-40,0,0.8408110440034513
35,-40,0,0.8018406672418752
