Roll,Pitch,Area
-90,-90,0.375
-90,-89,0.38
-90,-88,0.38
-90,-87,0.385
-90,-86,0.39
-90,-85,0.395
-90,-84,0.395
-90,-83,0.4
-90,-82,0.405
-90,-81,0.405
-90,-80,0.41
-90,-79,0.415
-90,-78,0.415
-90,-77,0.42
-90,-76,0.425
-90,-75,0.425
-90,-74,0.43
-90,-73,0.43
-90,-72,0.435
-90,-71,0.44
-90,-70,0.44
-90,-69,0.445
-90,-68,0.445
-90,-67,0.45
-90,-66,0.45
-90,-65,0.455
-90,-64,0.455
-90,-63,0.46
-90,-62,0.46
-90,-61,0.465
-90,-60,0.465
-90,-59,0.47
-90,-58,0.47
-90,-57,0.47
-90,-56,0.475
-90,-55,0.475
-90,-54,0.48
-90,-53,0.48
-90,-52,0.48
-90,-51,0.485
-90,-50,0.485
-90,-49,0.485
-90,-48,0.49
-90,-47,0.49
-90,-46,0.49
-90,-45,0.495
-90,-44,0.495
-90,-43,0.495
-90,-42,0.5
-90,-41,0.5
-90,-40,0.5
-90,-39,0.5
-90,-38,0.5
-90,-37,0.505
-90,-36,0.505
-90,-35,0.505
-90,-34,0.505
-90,-33,0.505
-90,-32,0.51
-90,-31,0.51
-90,-30,0.51
-90,-29,0.51
-90,-28,0.51
-90,-27,0.51
-90,-26,0.51
-90,-25,0.51
-90,-24,0.515
-90,-23,0.515
-90,-22,0.515
-90,-21,0.515
-90,-20,0.515
-90,-19,0.515
-90,-18,0.515
-90,-17,0.515
-90,-16,0.515
-90,-15,0.515
-90,-14,0.515
-90,-13,0.515
-90,-12,0.515
-90,-11,0.515
-90,-10,0.515
-90,-9,0.515
-90,-8,0.51
-90,-7,0.51
-90,-6,0.51
-90,-5,0.51
-90,-4,0.51
-90,-3,0.51
-90,-2,0.51
-90,-1,0.51
-90,0,0.505
-90,1,0.505
-90,2,0.505
-90,3,0.505
-90,4,0.505
-90,5,0.5
-90,6,0.5
-90,7,0.5
-90,8,0.5
-90,9,0.495
-90,10,0.495
-90,11,0.495
-90,12,0.495
-90,13,0.49
-90,14,0.49
-90,15,0.49
-90,16,0.485
-90,17,0.485
-90,18,0.485
-90,19,0.48
-90,20,0.48
-90,21,0.48
-90,22,0.475
-90,23,0.475
-90,24,0.47
-90,25,0.47
-90,26,0.465
-90,27,0.465
-90,28,0.465
-90,29,0.46
-90,30,0.46
-90,31,0.455
-90,32,0.455
-90,33,0.45
-90,34,0.45
-90,35,0.445
-90,36,0.445
-90,37,0.44
-90,38,0.435
-90,39,0.435
-90,40,0.43
-90,41,0.43
-90,42,0.425
-90,43,0.42
-90,44,0.42
-90,45,0.415
-90,46,0.415
-90,47,0.41
-90,48,0.405
-90,49,0.405
-90,50,0.4
-90,51,0.395
-90,52,0.39
-90,53,0.39
-90,54,0.385
-90,55,0.38
-90,56,0.38
-90,57,0.375
-90,58,0.37
-90,59,0.365
-90,60,0.36
-90,61,0.36
-90,62,0.355
-90,63,0.35
-90,64,0.345
-90,65,0.34
-90,66,0.34
-90,67,0.335
-90,68,0.33
-90,69,0.325
-90,70,0.32
-90,71,0.315
-90,72,0.31
-90,73,0.305
-90,74,0.3
-90,75,0.295
-90,76,0.29
-90,77,0.285
-90,78,0.28
-90,79,0.28
-90,80,0.275
-90,81,0.265
-90,82,0.26
-90,83,0.255
-90,84,0.25
-90,85,0.245
-90,86,0.24
-90,87,0.235
