Roll,Pitch,Area
-52,10,3647.0
-49,11,3583.0
-47,11,3423.0
-41,13,3213.0
-37,9,3147.0
-32,11,3100.0
-27,12,3122.0
-21,13,3205.0
-18,14,3291.0
-16,14,3344.0
-12,16,3413.0
-13,16,3443.0
-8,19,3436.0
-7,20,3468.0
-10,20,3458.0
-20,15,3270.0
-18,13,3536.0
-1,16,3683.0
11,16,3605.0
61,-4,2658.0
59,-5,2602.0
61,-5,2586.0
62,-5,2512.0
63,-6,2256.0
58,-4,2237.0
23,3,2534.0
15,3,2739.0
2,2,3186.0
-4,2,3303.0
-3,2,3400.0
-10,-1,3161.0
-8,-6,3190.0
-11,-11,3228.0
-6,-14,3309.0
-6,-19,3311.0
-3,-23,3352.0
-25,11,3125.0
-23,12,3135.0
-22,13,3097.0
-21,14,3109.0
-22,15,3109.0
-19,16,3106.0
-17,17,3116.0
-18,16,3156.6666666666665
-18,15,3202.0
-17,18,3165.0
-20,16,3151.0
-14,27,3171.0
-26,43,2920.0
-31,46,2631.0
-36,43,2549.0
-43,38,2502.0
-44,39,2446.0
-34,-10,2711.0
-31,-14,2723.0
11,-26,3001.0
14,-25,2976.0
18,-25,2996.0
20,-23,3011.0
21,-23,2993.0
26,-21,2933.0
25,-20,2940.0
32,-15,2896.0
33,-13,2895.0
35,-13,2852.0
36,-10,2850.0
41,-6,2830.0
37,-1,2783.0
37,1,2767.0
30,5,2761.0
31,11,2719.0
24,12,2723.0
18,16,2744.0
-9,-15,2824.0
-3,-17,2796.0
14,-9,2942.0
-33,-18,3017.0
-36,-18,2998.0
-41,-19,2946.0
-42,-19,2851.0
-46,-20,2782.0
-49,-19,2695.0
-48,-18,2683.0
-50,-17,2547.0
-49,-17,2477.0
-50,-16,2441.0
-47,-15,2382.0
-46,-13,2346.0
-39,-8,2381.0
-6,28,2981.0
-7,27,2990.0
-44,-15,2357.0
-61,-4,2339.0
-31,53,1677.0
-30,53,1766.0
-24,56,1807.0
-22,55,1950.0
-7,53,2267.0
-6,52,2348.0
-1,53,2327.0
7,49,2330.0
9,46,2327.0
18,42,2343.0
-21,-17,2929.0
-20,-18,2907.0
-22,-19,2911.0
-20,-19,2934.5
44,-13,2268.0
45,-13,2334.0
45,-11,2411.0
46,-10,2414.0
