Roll,Pitch,Area
-11,2,4351.0
46,-2,3446.0
38,-6,2665.0
50,2,3417.0
50,1,3291.0
53,1,3235.0
29,1,3118.0
15,-3,3403.0
15,3,3783.0
15,-2,3849.0
13,-20,4322.0
16,-21,4396.0
16,-26,4411.0
15,-29,4396.0
21,-32,4398.0
16,-37,4332.0
17,-39,4324.0
18,-40,4286.0
19,-41,4271.0
22,-42,4200.0
20,-44,4167.0
21,-47,4109.0
24,-48,3978.0
24,-49,3920.0
24,-51,4028.3333333333335
28,-47,3904.0
28,-50,3814.0
29,-48,3885.0
35,-45,3884.0
39,-42,3889.0
43,-35,3869.5
45,-29,3806.0
45,-24,3645.0
47,-20,3529.0
48,-17,3470.0
45,-13,3524.0
44,-12,3645.0
42,-11,3638.0
42,-7,3621.0
42,-4,3653.0
-67,23,2394.0
-39,-33,3890.0
-35,-37,3996.0
-34,-39,4014.0
-32,-41,4104.0
-30,-44,4138.0
-27,-47,4179.0
-25,-48,4245.0
-24,-48,4365.0
-21,-50,4328.0
-16,-53,4451.0
-13,-55,4404.0
-12,-57,4398.0
-8,-61,4374.0
-6,-62,4395.0
-5,-64,4401.0
-3,-63,4392.0
-2,-64,4434.0
4,-63,4425.5
6,-63,4382.0
6,-61,4313.0
7,-60,4288.0
9,-60,4268.0
11,-59,4300.0
12,-59,4269.0
12,-58,4286.0
14,-58,4259.0
13,-57,4240.0
14,-57,4254.333333333333
19,-56,4244.0
20,-54,4267.0
21,-54,4223.0
35,-43,4009.0
34,-42,4013.0
36,-41,3969.0
37,-43,4028.0
38,-45,3942.0
37,-46,3825.0
40,-46,3780.0
33,-49,3696.0
35,-51,3671.0
35,-53,3589.0
28,-57,3612.0
27,-58,3594.0
24,-60,3537.0
18,-59,3504.0
17,-61,3693.0
9,-58,3772.0
5,-57,3927.0
-1,-56,4168.0
-6,-54,4360.0
-17,-44,4570.0
-25,-40,4732.0
-28,-36,4920.0
-31,-39,5007.0
-25,-43,5129.0
-19,-45,5262.0
-10,-42,5255.0
-1,-43,5059.0
6,-42,4889.0
10,-43,4936.0
17,-40,4979.0
21,-39,4973.0
23,-37,4937.0
28,-35,4878.0
33,-33,4738.0
36,-32,4654.0
38,-32,4465.0
40,-33,4414.0
48,-30,4287.0
52,-26,4125.0
51,-26,3980.0
55,-22,3840.0
63,-9,3302.0
73,-4,3139.0
-12,1,4456.0
37,1,3898.0
39,1,3813.0
40,-1,3784.0
44,-1,3700.0
45,-1,3601.0
39,-5,3029.0
36,-6,3297.0
41,1,3890.0
45,1,3661.0
9,-1,3580.0
1,-2,3797.0
-5,-2,3991.0
-9,-1,4143.0
-17,-2,4326.0
-7,69,3128.0
-7,68,3153.0
-8,69,3123.0
-9,68,3114.0
-10,67,3091.0
-10,62,3038.0
-12,62,3088.0
-13,56,3125.0
-13,30,3525.0
-8,27,3600.0
-9,29,3728.0
-10,24,3782.0
-10,21,3819.0
-10,20,3890.0
-9,20,3886.0
-7,18,3974.0
-7,14,4019.0
-7,16,4062.0
-8,11,4120.0
-8,7,4166.0
-6,6,4227.0
19,47,3175.0
21,47,3177.0
18,40,3148.0
20,41,3124.0
14,36,3147.0
18,35,3174.0
15,29,3272.0
15,28,3278.0
16,27,3403.0
14,24,3443.0
15,20,3542.0
14,19,3586.0
15,15,3672.0
13,10,3699.0
11,5,3747.0
14,-6,4011.0
13,-9,4068.0
14,-14,4214.5
14,-18,4379.0
16,-24,4490.0
39,-2,3667.0
44,3,3747.0
-60,29,2583.0
-59,30,2583.0
-61,28,2516.0
-69,21,2433.0
-75,11,2456.0
-76,9,2542.0
-77,6,2716.0
-61,-14,3260.0
-61,-15,3496.0
-56,-17,3516.0
-57,-18,3599.0
-51,-23,3629.0
-50,-25,3677.0
-46,-27,3780.0
-43,-30,3753.0
55,-10,3961.0
61,-7,3591.0
71,-1,2998.0
72,2,2724.0
61,12,2569.0
-12,1,4480.0
-13,3,4567.0
-12,3,4619.0
20,3,4422.0
25,2,4414.0
27,2,4243.0
29,1,4194.0
32,1,4222.0
34,1,4040.0
35,-6,3557.0
30,-6,3711.0
25,-7,3746.0
33,1,4202.0
36,1,4037.0
-20,-3,4484.0
-22,-2,4588.0
-23,-3,4637.5
-24,-3,4627.0
-24,-2,4606.5
-25,-3,4609.0
-16,45,3700.0
-16,46,3590.0
-14,47,3563.0
-11,50,3489.0
-13,51,3429.0
-12,53,3443.0
-12,55,3309.0
-11,55,3272.0
-11,56,3269.0
-10,56,3264.0
-9,58,3287.0
-10,60,3268.5
-10,58,3270.0
-9,60,3290.0
-10,59,3284.0
-8,61,3232.0
-10,61,3230.0
-9,61,3258.0
-9,63,3235.0
-9,62,3199.0
-10,62,3225.0
-8,65,3249.0
-8,64,3247.0
-7,65,3165.0
-8,66,3190.0
-6,68,3187.0
-14,51,3163.0
-12,47,3265.0
-11,43,3312.0
-13,41,3430.0
-13,37,3433.0
-11,33,3489.0
-9,2,4315.0
-6,1,4401.0
8,62,3306.0
6,63,3252.0
8,66,3218.0
9,64,3224.0
9,62,3270.0
11,53,3221.0
17,55,3169.0
18,52,3139.0
17,53,3154.0
18,50,3220.0
18,46,3189.0
44,5,3737.0
-32,-11,4435.0
-29,-14,4560.0
-29,-17,4607.0
-25,-20,4650.0
-24,-24,4691.0
-20,-28,4720.0
-19,-31,4783.0
-15,-34,4772.0
-15,-39,4703.0
-13,-41,4685.0
-11,-42,4669.0
-13,-43,4655.0
-10,-48,4578.0
-7,-51,4556.0
-6,-53,4471.0
-5,-56,4475.0
-4,-58,4429.0
-4,-60,4397.0
-5,-63,4296.0
-5,-67,4194.0
-4,-75,4119.0
-4,-76,4166.0
-11,-69,4255.0
-17,-67,4236.0
-24,-57,4175.0
-27,-53,4164.0
