Roll,Pitch,Area
-35,35,2151.6666666666665
24,15,2134.0
16,16,2968.0
-14,47,2573.0
39,15,2375.0
37,13,2355.0
39,12,2325.0
37,10,2286.0
34,-6,2450.0
33,-8,2455.0
31,-11,2492.0
27,-13,2452.0
19,-16,2501.0
13,-19,2515.0
10,-21,2532.0
9,-23,2561.0
4,-26,2749.0
-1,-29,2847.0
-3,-29,2852.0
-7,-30,2844.0
-14,-31,2838.0
-19,-31,2869.0
-19,-28,2840.0
-23,-28,2823.0
-26,-28,2841.0
-31,-28,2846.0
-33,-29,2786.0
-35,-28,2878.0
-39,-26,2860.0
-11,9,2968.0
-22,-13,2557.0
-21,-11,2701.0
-23,-8,2745.0
-25,-6,2769.0
-23,-4,2718.0
-15,15,3632.0
-13,14,3731.0
-7,14,3647.0
-4,-27,3422.0
-27,8,3158.0
-19,16,3160.0
-21,32,3180.0
-24,33,3166.0
-25,34,3130.0
-25,39,3096.0
-26,43,2842.0
-26,47,2841.0
-29,45,2700.0
-48,35,2412.0
-51,33,2385.0
-53,30,2282.0
-57,27,2284.0
-59,23,2261.0
-62,19,2232.0
-62,17,2223.0
-61,16,2235.0
-47,1,2520.0
-42,1,2596.0
-39,-3,2677.0
10,18,2773.0
2,19,2796.0
-5,18,2886.0
-22,-17,2854.0
-14,-16,2778.5
-10,29,3126.0
-16,32,3008.0
-22,27,2979.0
-37,24,2979.0
-41,26,2986.0
-39,25,2861.0
-46,22,2910.0
-51,20,2838.0
-57,17,2691.0
-61,12,2652.0
-58,6,2651.0
-60,4,2533.0
-59,4,2414.0
-58,1,2271.5
-55,-3,2339.0
-51,-8,2361.0
-48,-11,2386.0
-48,39,1786.0
-36,50,1719.0
-17,-20,2996.0
-15,-22,3044.0
45,-12,2383.0
20,-17,3007.0
25,-18,2971.0
28,-17,3021.0
36,-13,3000.0
-4,-36,2617.0
-5,-37,2667.0
-3,-39,2602.0
-3,-38,2602.0
-4,-40,2649.5
-2,-42,2586.0
-1,-41,2597.0
1,-39,2588.0
1,-40,2641.0
-2,-29,2632.0
-24,37,2251.0
-21,38,2286.0
-15,37,2287.0
-12,40,2303.0
-9,41,2389.0
-4,44,2596.0
-3,45,2376.0
-2,48,2406.0
-8,49,2403.0
-14,51,2513.0
-16,56,2411.0
-22,30,2393.0
-23,31,2451.0
-34,28,2555.0
-62,3,2276.0
-59,1,2248.0
-54,-2,2173.0
-55,-5,2181.0
-54,-7,2221.0
-50,-10,2213.0
-44,-13,2249.0
-36,-13,2270.0
-30,-10,2295.0
-24,1,2435.0
-16,6,3193.0
-12,11,2595.0
-4,13,2698.0
2,16,2728.0
8,15,2767.0
9,14,2764.0
14,10,2710.0
20,10,2690.0
21,10,2674.0
22,5,2683.0
24,-3,2636.0
27,-6,2615.0
30,-8,2635.0
24,-12,2625.0
27,-11,2604.0
25,-15,2622.0
23,-19,2630.0
7,-26,2749.0
-46,-25,2540.0
13,-35,2586.0
-10,-20,2564.0
-13,-19,2651.0
-13,-17,2734.0
-12,-17,2760.0
-13,7,3882.0
-14,8,3852.0
-14,6,3861.0
-15,6,3850.0
