Roll,Pitch,Area
-12,13,4664.9
-12,14,4691.0
12,12,4656.0
19,8,4682.0
22,10,4734.0
20,10,4714.0
24,9,4537.0
23,9,4230.0
25,10,4184.0
26,10,4135.0
28,9,3926.5
31,5,3948.0
44,-3,3894.0
47,-4,3886.0
44,-5,3861.0
50,-5,3773.0
58,-1,3615.0
60,1,3691.0
62,1,3470.0
24,5,3889.0
19,5,3974.0
20,5,4117.0
7,3,4321.0
5,3,4365.0
-2,2,4437.0
-2,3,4513.0
-5,2,4683.0
-65,-8,4000.0
-65,-5,3870.0
-69,-6,3757.0
-70,-5,3793.0
-70,-6,3796.0
-70,-7,3714.0
-72,-7,3699.0
-74,-6,3661.0
-77,-3,3453.5
-78,-4,3490.0
-77,-6,3326.5
-77,-5,3356.0
-76,-4,3213.0
-73,-5,3144.0
-75,-3,3140.0
-66,-3,3174.0
-52,0,3284.0
-47,1,3453.0
-10,-1,4756.0
-17,-3,4834.0
-23,-5,4911.0
-27,-5,4921.0
-32,-6,4999.0
-36,-6,5071.0
-40,-7,5022.0
-44,-9,5023.0
-48,-9,4930.0
-52,-9,4784.0
-53,-10,4674.0
-59,-12,4568.0
-60,-13,4445.0
-66,-13,4300.0
-63,-12,4090.0
-13,27,4364.0
-13,30,4422.0
-13,31,4284.0
-13,32,4348.0
-12,34,4295.0
-13,36,4285.0
-13,38,4222.0
-11,41,4182.0
-10,41,4120.0
-12,41,4028.0
-10,-11,4959.0
-10,-12,4940.0
-8,-14,4929.0
-8,-15,4951.666666666667
-6,-21,4989.0
-8,-23,5046.0
-5,-24,5030.0
-5,-26,5031.0
-4,-27,4995.5
-3,-28,4956.0
-1,-30,4932.0
-2,-31,4923.0
-1,-28,4865.0
-5,-23,4831.0
-8,-19,4773.0
-6,-13,4823.0
-9,-13,4897.0
-10,-6,4965.0
-10,-5,4932.5
-11,-7,4926.0
26,10,4057.0
25,8,3973.0
29,10,3932.0
36,4,3861.0
36,1,3828.0
39,1,3802.0
39,-4,3787.0
46,-3,3754.0
49,-5,3661.0
48,-6,3664.0
53,-6,3436.0
54,-5,3357.0
54,-6,3355.0
56,-6,3386.0
