Roll,Pitch,Z,Area
0,0,200,1.0
2,0,200,1.0
4,0,200,0.9991494790559218
6,0,200,0.9968105464597066
8,0,200,0.9934084626833936
10,0,200,0.9889432277269827
12,0,200,0.9836274718264937
14,0,200,0.9772485647459068
16,0,200,0.9698065064852222
18,0,200,0.9615139272804593
20,0,200,0.9521581968955986
22,0,200,0.9419519455666596
24,0,200,0.9306825430576228
26,0,200,0.9183499893684882
28,0,200,0.9051669147352753
30,0,200,0.8909206889219647
32,0,200,0.8756113119285562
34,0,200,0.8594514139910695
36,0,200,0.842228364873485
38,0,200,0.8241547948118222
40,0,200,0.8050180735700616
42,0,200,0.7848182011482032
44,0,200,0.763555177546247
46,0,200,0.7414416330002126
48,0,200,0.7184775675101
50,0,200,0.6942377206038699
52,0,200,0.6691473527535615
54,0,200,0.643206463959175
56,0,200,0.615989793748671
58,0,200,0.5879226025940889
60,0,200,0.5590048904954285
62,0,200,0.5290240272166702
64,0,200,0.49798001275781417
66,0,200,0.4658728471188603
68,0,200,0.4329151605358282
70,0,200,0.39910695300871785
72,0,200,0.3640229640654901
74,0,200,0.32808845417818416
76,0,200,0.29130342334679993
78,0,200,0.2532426110992983
80,0,200,0.21433127790771847
82,0,200,0.1745694237720604
84,0,200,0.1337444184563045
86,0,200,0.09185626196045078
88,0,200,0.04890495428449926
90,0,200,0.005103125664469487
-88,2,200,0.04358919838401021
-86,2,200,0.08654050605996173
-84,2,200,0.12842866255581545
-82,2,200,0.1694662981075909
-80,2,200,0.20944078247926856
-78,2,200,0.2483521156708484
-76,2,200,0.28641292791835
-74,2,200,0.32341058898575376
-72,2,200,0.3595577291090793
-70,2,200,0.3944290878162875
-68,2,200,0.42866255581543694
-66,2,200,0.46162024239846905
-64,2,200,0.49372740803742293
-62,2,200,0.524771422496279
-60,2,200,0.5549649160110568
-58,2,200,0.5840952583457367
-56,2,200,0.612162449500319
-54,2,200,0.6393791197108228
-52,2,200,0.665532638741229
-50,2,200,0.6908356368275569
-48,2,200,0.7150754837337869
-46,2,200,0.7382521794599192
-44,2,200,0.7603657240059536
-42,2,200,0.7816287476079098
-40,2,200,0.8018286200297682
-38,2,200,0.8211779715075483
-36,2,200,0.8394641718052307
-34,2,200,0.8566872209228152
-32,2,200,0.8730597490963214
-30,2,200,0.88836912608973
-28,2,200,0.9028279821390601
-26,2,200,0.916011056772273
-24,2,200,0.9285562406974271
-22,2,200,0.939825643206464
-20,2,200,0.9502445247714225
-18,2,200,0.9596002551562832
-16,2,200,0.9681054645970657
-14,2,200,0.9755475228577504
-12,2,200,0.9819264299383372
-10,2,200,0.9874548160748459
-8,2,200,0.9919200510312567
-6,2,200,0.9953221348075696
-4,2,200,0.9978736976398044
-2,2,200,0.9993621092919414
0,2,200,1.0
2,2,200,1.0
4,2,200,0.9995741056218058
6,2,200,0.9972316865417377
8,2,200,0.993824531516184
10,2,200,0.9893526405451448
12,2,200,0.9840289608177172
14,2,200,0.9776405451448041
16,2,200,0.9701873935264055
18,2,200,0.9618824531516184
20,2,200,0.9525127768313458
22,2,200,0.9420783645655877
24,2,200,0.9307921635434412
26,2,200,0.9186541737649063
28,2,200,0.9052385008517888
30,2,200,0.8909710391822828
32,2,200,0.8756388415672913
34,2,200,0.8594548551959114
36,2,200,0.842206132879046
38,2,200,0.823892674616695
40,2,200,0.8047274275979557
42,2,200,0.7844974446337308
44,2,200,0.7634156729131175
46,2,200,0.7412691652470187
