pf,z,xrange,yrange,zrange,intercept,a,b,a^2,ab,b^2,date
0,0,[0:0],[0:0],[0:0],0,0,0,0,0,0,0
26,150,[-5:5],[-5:5],[-50:50],4170.420360930442,-1.4527657484571335,5.484506033896661,-0.24680196095154427,0.03073672071396938,-0.2610489402779297,2023-10-17 04:02:42.294312
27,300,[-5:5],[-5:5],[0:400],3074.5674556383865,-0.3507149909428871,1.7288074795467887,-0.19566488072209576,-0.06370745298949845,-0.25334706395985074,2023-10-17 04:07:41.353615
31,290,[-5:5],[-5:5],[0:400],3908.094328980038,-2.436179229268282,7.642546454508854,-0.28601067786825096,0.0020674458889331504,-0.3155864728161947,2023-10-17 04:43:11.705365
31,280,[-5:5],[-5:5],[-10:10],3158.235261051483,-1.2394556475758525,0.6162424058140954,-0.23055939539110304,-0.008573902780664167,-0.23985079042588545,2023-10-17 04:38:35.743136
31,270,[-5:5],[-5:5],[-10:10],3208.194978384473,-0.9669121791376427,0.1812846698640578,-0.22901888429990036,0.004573726603656431,-0.24765058719660488,2023-10-17 04:37:27.244682
31,260,[-5:5],[-5:5],[-10:10],3205.330765040921,-0.8060732759120819,-0.6677686105198615,-0.2141193388476228,-0.006981395688741704,-0.26253319341042614,2023-10-17 04:36:17.034119
31,250,[-5:5],[-5:5],[-10:10],3330.9178483866003,-0.41996463578606213,-1.5918356147700317,-0.24075305761381532,0.014444733346550123,-0.2600099175945976,2023-10-17 04:34:48.106029
31,240,[-5:5],[-5:5],[-10:10],3415.16807172573,-2.2440033926953236,-2.4746900900826203,-0.22729086587351355,0.009933662534205245,-0.26007731637586656,2023-10-17 04:33:24.785517
31,230,[-5:5],[-5:5],[-10:10],3517.041594347848,-3.66894113387367,-0.8870167385404406,-0.2335971330497264,0.03561395866120742,-0.28323179031205814,2023-10-17 04:32:15.381875
31,220,[-5:5],[-5:5],[-10:10],3665.303247682428,-3.286467394390926,2.999240837187311,-0.2510250977108739,0.02764927545352447,-0.29762766403407503,2023-10-17 04:31:01.099543
31,210,[-5:5],[-5:5],[-10:10],3783.5425606464983,-3.485330025586373,5.0653733518363815,-0.2759322634030936,0.03990775551318067,-0.28854298260944444,2023-10-17 04:29:41.534177
31,190,[-5:5],[-5:5],[-10:10],3952.164570371082,-2.3985102313622058,3.006390116151727,-0.2806403676283653,-0.003587474749415398,-0.2209872012567473,2023-10-17 04:28:25.376600
31,170,[-5:5],[-5:5],[-10:10],4208.614046407349,-8.88293480528187,3.3916137685642416,-0.44103601532518133,-0.10240989025298619,-0.31310644146284616,2023-10-17 04:26:42.800518
31,200,[-5:5],[-5:5],[-10:10],3908.094328980038,-2.436179229268282,7.642546454508854,-0.28601067786825096,0.0020674458889331504,-0.3155864728161947,2023-10-17 04:25:04.079357
31,180,[-5:5],[-5:5],[-10:10],4134.455099546223,-4.239655392371307,2.6004323380280483,-0.32633131560305184,-0.09650401311694856,-0.3132433224867216,2023-10-17 04:19:40.252562
31,160,[-5:5],[-5:5],[-10:10],4323.870446094836,-17.541124438908362,-0.8155544367118028,-0.5762829757640673,-0.30955093802733513,-0.32179471703206275,2023-10-17 04:15:34.615071
31,140,[-5:5],[-5:5],[-10:10],5052.318264361225,14.582675741872684,-13.901673698530663,0.1536257848870317,-1.127732801144265,-0.3862118992134622,2023-10-17 04:11:47.814656
31,150,[-5:5],[-5:5],[-10:10],4880.014179997796,5.607737676291046,9.669181861767754,-0.266395224569169,-0.18460848103575866,-0.44195781778613785,2023-10-17 04:10:07.206539
